Sales,Longevity,Similar_Sales,Prior_Demand,Advertising_budget,Similar_Products,Competitor_Products,Ads,Competitor_Ads,Magazine,Awards,Innovative,Product_necessity,Type,Cheap,Disposable,Tested,Warranty,Competitor_Launch,Styles
5000,1,3792300,7600,58648,14,55,5,8,7,3,0,1,Bath,1,1,0,0,0,0
19000,1,1804500,8800,28203,9,62,1,4,12,2,0,1,Bath,1,0,0,0,0,0
3000,1,1231000,8000,143718,31,79,27,0,34,9,0,0,Bath,1,0,1,1,1,0
3000,0,4525300,4700,90054,23,92,14,0,7,0,0,1,Kitchen,1,1,1,1,0,0
2000,1,4308600,6900,73049,4,39,1,1,3,0,0,0,Bath,0,0,1,0,0,0
2000,1,2301100,5300,224077,80,1,6,67,4,2,0,1,Office,1,1,0,0,0,0
103000,1,1804500,7200,856200,41,105,14,10,22,5,0,0,Bath,1,1,0,0,1,1
121000,1,1588000,8200,743429,58,101,30,0,45,2,0,1,Kitchen,1,1,0,1,1,1
108000,1,1332300,8400,1649272,22,63,6,2,9,0,0,1,Bath,1,0,0,0,0,0
16000,1,918600,8500,2053329,51,63,4,29,12,2,0,0,Kitchen,1,1,0,0,0,0
27000,1,655100,8200,743429,42,50,13,20,13,0,0,1,Kitchen,1,1,1,1,1,1
3000,0,2896100,5000,14073,11,52,3,4,9,2,0,0,Bath,0,1,0,0,0,0
5000,1,396300,5200,308925,27,21,11,9,13,0,0,0,Bath,1,0,1,0,0,0
31000,1,2492900,7800,343410,1,106,0,0,2,0,0,1,Bath,1,1,1,0,1,1
3000,1,3518300,8900,341566,12,37,5,5,5,0,0,0,Office,0,0,0,0,0,1
2000,1,1578000,6600,230598,1,9,0,0,1,0,0,0,Bath,1,1,0,0,0,0
2000,1,2671700,5500,557614,40,52,11,5,19,2,0,0,Kitchen,0,0,1,0,0,1
3000,1,192800,7900,58806,0,53,0,1,0,0,0,0,Bath,1,0,0,0,0,0
15000,1,1263700,6500,529465,26,79,9,8,12,0,0,1,Kitchen,1,1,1,1,0,1
10000,1,192800,6700,503559,42,66,3,26,9,1,0,0,Bath,1,1,0,0,0,0
21000,1,3518300,8600,1172663,36,92,13,17,7,1,0,1,Bath,1,0,0,0,1,0
65000,1,950000,8100,438659,2,44,0,0,3,1,0,1,Bath,1,0,0,0,0,0
87000,1,3570700,7300,872255,76,100,33,26,37,3,0,1,Bath,1,1,1,1,1,0
6000,0,2936200,7000,7696,33,76,3,3,25,0,1,1,Kitchen,0,1,0,0,1,1
23000,1,2671700,8500,169907,60,84,20,24,45,15,1,1,Bath,1,1,1,1,1,1
6000,1,31600,7600,1951543,58,40,8,29,25,9,0,1,Bath,1,0,0,0,0,0
10000,0,2732900,7300,97852,39,63,12,12,30,7,0,0,Kitchen,1,0,0,0,0,0
2000,1,3792300,5300,176797,3,10,0,0,3,0,0,0,Toy,1,1,0,0,0,0
3000,1,1864300,6300,35887,13,73,1,8,1,0,0,1,Bath,1,1,1,0,0,0
3000,1,2175300,7600,4538,7,63,2,2,2,0,0,1,Office,1,1,0,0,0,0
2000,1,301200,7300,119498,5,6,3,1,4,0,0,0,Bath,1,0,0,0,0,0
2000,1,1298400,6800,2727,3,30,0,2,2,1,0,0,Bath,0,0,1,0,0,0
84000,0,4398900,8700,862604,126,132,63,20,83,9,0,0,Bath,1,1,1,1,1,1
13000,1,784400,7600,384726,0,51,0,0,1,0,0,0,Kitchen,1,0,0,0,0,0
2000,1,2525600,6200,1564,3,89,4,0,3,1,0,1,Bath,1,0,0,0,0,0
10000,1,4308600,6000,55669,35,42,16,10,18,5,0,1,Bath,1,0,0,0,0,0
18000,1,52200,8300,870647,66,110,28,14,42,5,0,1,Bath,1,1,1,0,1,1
2000,1,1618300,5600,331563,6,60,1,1,1,0,0,1,Bath,1,0,0,0,0,0
3000,1,456200,6500,642619,13,18,0,3,3,0,0,0,Bath,0,0,0,0,0,0
2000,1,2617100,6400,336930,23,4,3,4,9,0,0,0,Kitchen,0,1,0,0,0,1
18000,1,805400,7800,697011,51,43,1,37,10,2,0,1,Bath,1,0,0,0,0,0
5000,0,4525300,8200,1602,7,49,5,0,4,0,0,0,Office,1,1,0,1,1,0
11000,1,31600,8600,1399606,46,121,20,3,21,0,0,1,Kitchen,1,1,1,1,0,0
50000,1,1210500,8900,907439,28,44,9,2,18,0,0,1,Bath,1,0,0,0,0,0
10000,1,1842000,8600,395580,17,95,16,0,13,0,0,0,Bath,1,1,0,1,1,0
3000,0,2801100,6300,47075,4,65,2,0,2,0,1,0,Bath,1,1,1,0,0,0
3000,1,421100,7900,58648,0,72,2,0,2,1,0,1,Bath,1,0,0,0,0,0
5000,1,52200,7500,1575180,50,87,27,3,41,3,0,1,Office,1,0,0,0,0,0
6000,1,1139100,7300,788296,39,49,3,10,12,0,0,1,Bath,1,0,0,0,0,0
3000,1,2454000,6400,150368,2,26,0,0,2,0,0,0,Kitchen,1,0,0,0,0,0
2000,1,2671700,6800,73049,4,35,1,1,4,1,0,0,Bath,0,0,1,0,0,0
2000,1,2301100,6200,1275,3,7,0,1,0,0,0,0,Bath,0,1,0,0,0,0
11000,1,1175400,7800,466603,41,77,25,0,28,0,0,1,Bath,1,0,1,1,0,0
8000,1,235200,8000,275695,54,67,26,3,45,6,0,0,Bath,1,0,1,1,0,0
10000,1,281900,8300,372875,10,90,3,2,2,1,0,1,Bath,1,0,1,0,0,1
15000,1,97600,8500,420774,62,134,31,1,44,2,0,1,Bath,1,1,0,0,0,0
3000,0,2732900,8700,28006,15,84,3,7,11,4,0,1,Bath,1,0,0,0,1,0
3000,0,2936200,6100,18465,17,53,8,2,12,0,0,0,Bath,1,0,0,0,0,0
2000,1,2344300,7100,18386,2,65,4,1,1,0,0,1,Bath,1,0,0,0,1,0
3000,1,2671700,7800,14,11,76,5,3,7,1,0,0,Bath,1,1,0,1,1,0
2000,1,2301100,4400,25831,2,12,0,0,2,0,0,0,Bath,1,1,1,0,0,0
2000,1,1175400,7100,111812,11,56,6,0,7,0,0,1,Kitchen,1,1,1,1,0,0
3000,1,3518300,8300,14306,8,64,4,3,2,0,0,1,Bath,1,1,0,0,0,0
13000,1,3792300,4200,462746,58,37,1,42,6,2,0,0,Bath,1,1,1,0,0,1
34000,1,3518300,8800,16504,23,68,9,14,6,1,0,1,Bath,1,0,0,0,0,0
2000,1,994700,7500,777132,51,57,4,24,17,3,0,1,Bath,1,1,0,0,0,1
2000,1,1080000,4300,305595,4,22,0,0,1,0,0,0,Bath,1,1,0,0,0,0
3000,1,887900,8300,503093,31,53,8,4,17,0,0,1,Bath,1,1,0,0,0,1
26000,1,820700,8400,336930,55,95,30,0,58,14,0,1,Bath,1,0,0,0,1,0
29000,1,456200,7600,820707,50,84,25,4,39,5,0,1,Bath,1,0,1,0,1,1
2000,1,2054000,7800,1879,9,84,4,3,6,1,0,1,Bath,1,1,1,1,1,0
19000,1,538300,8800,527439,58,110,28,5,45,2,0,1,Kitchen,1,1,1,1,1,1
5000,1,3570700,5700,227165,9,8,1,6,2,0,0,0,Bath,1,1,0,0,0,1
2000,1,1278800,6300,241413,12,53,2,2,2,0,0,0,Bath,1,0,0,0,0,0
16000,1,2125000,7500,850888,23,98,17,0,12,0,0,0,Bath,1,1,1,1,1,0
6000,1,768600,6800,75598,7,46,1,1,5,0,0,1,Bath,1,0,0,0,0,0
2000,1,2301100,3800,450556,11,39,1,2,11,2,0,0,Bath,1,0,0,0,0,0
3000,1,171900,7500,670326,11,82,1,1,6,3,0,0,Bath,1,0,0,0,0,0
35000,1,3122700,7200,941734,25,127,7,11,10,2,0,0,Bath,1,0,0,0,1,1
10000,1,2004800,7900,208574,27,75,6,14,12,2,0,1,Kitchen,1,1,0,0,0,0
105000,1,850500,8500,1238684,38,58,12,14,19,1,0,1,Bath,1,0,0,0,1,0
2000,0,4708900,7800,1698,1,19,1,0,1,0,0,0,Bath,1,0,0,0,0,0
15000,1,1463400,8600,780782,54,129,15,11,27,0,0,0,Bath,0,1,1,0,1,0
6000,1,1130900,5500,761,11,68,3,3,5,0,0,1,Kitchen,1,0,1,0,0,0
2000,1,320800,6300,221857,12,10,3,0,6,0,0,0,Bath,0,1,0,0,0,0
5000,0,2936200,8600,635758,11,16,5,2,6,0,0,0,Bath,0,1,0,0,0,0
2000,1,235200,7700,466940,12,27,1,4,5,1,0,0,Bath,1,0,0,0,0,0
39000,1,820700,8000,539483,8,30,0,4,6,2,0,1,Bath,1,0,0,0,0,0
29000,1,2539500,8800,348241,85,125,25,42,39,6,0,1,Bath,1,1,1,1,1,1
3000,1,301200,8600,15804,9,34,0,6,9,2,0,0,Bath,1,0,0,0,0,0
2000,1,981000,6300,97941,7,12,1,1,2,0,0,0,Bath,1,0,0,0,0,1
15000,1,3000900,6100,641442,13,98,6,0,9,0,1,1,Bath,1,0,1,0,1,1
5000,1,1999100,7900,11049,5,44,3,0,2,0,0,1,Bath,1,0,0,0,0,0
16000,1,456200,8200,689611,26,107,14,6,9,1,0,1,Kitchen,1,0,0,0,0,0
2000,1,3570700,6400,190084,2,10,1,0,2,0,0,0,Bath,1,1,1,0,0,0
18000,1,242300,7600,371070,80,87,30,22,44,3,0,1,Bath,1,1,1,0,0,1
5000,1,421100,6900,416229,4,22,0,0,3,0,0,1,Bath,1,0,0,0,0,0
8000,1,421100,7900,90029,1,67,1,0,5,2,0,1,Bath,1,0,0,0,0,0
2000,1,1804500,7000,331563,10,45,2,8,12,5,0,1,Bath,1,0,0,0,0,1
2000,1,3122700,6700,2048,0,56,0,0,0,0,0,0,Bath,1,1,0,0,0,0
18000,0,2732900,7000,309164,41,76,16,5,34,3,0,1,Kitchen,1,1,1,0,0,0
2000,1,2789600,5600,67486,0,6,0,0,0,0,0,0,Bath,1,1,1,0,0,0
34000,1,3570700,6100,779035,51,81,26,11,25,2,0,0,Bath,1,1,0,0,1,1
5000,1,655100,7200,49009,1,33,1,1,2,1,0,0,Bath,1,0,0,0,0,0
3000,1,820700,5700,67012,6,31,1,3,2,0,0,1,Bath,1,1,0,0,0,0
2000,1,1864300,3100,47068,1,5,1,1,2,1,0,1,Bath,1,1,0,0,0,0
2000,1,918600,8000,139621,5,47,2,0,0,1,0,0,Kitchen,1,1,0,0,0,0
2000,1,538300,5400,312,6,23,2,0,1,0,0,0,Bath,1,1,1,0,0,0
11000,1,950000,7300,304225,1,40,0,6,6,2,0,1,Bath,1,0,0,0,0,0
2000,1,3792300,6900,1183119,53,30,4,32,13,4,0,0,Bath,1,0,0,0,0,0
56000,1,1950700,8900,676207,32,53,4,10,10,0,0,1,Bath,1,0,0,0,0,0
6000,1,1139100,7700,253625,10,49,2,4,7,1,0,1,Bath,1,0,0,0,0,1
10000,1,3311300,7900,145077,64,76,4,48,44,34,0,1,Bath,1,0,0,0,0,0
2000,0,2936200,7000,65248,4,44,2,0,4,0,0,1,Kitchen,1,0,0,0,0,0
10000,0,4934700,7700,241220,18,36,1,5,12,2,0,0,Kitchen,1,0,0,0,0,0
2000,1,3792300,3600,334360,1,8,0,0,0,0,0,0,Kitchen,0,0,0,0,0,1
10000,1,2671700,7600,257699,38,52,12,4,28,1,0,0,Kitchen,1,0,0,0,0,0
3000,1,3382800,8500,540020,2,47,1,0,1,0,0,1,Bath,1,1,0,0,1,1
5000,1,1864300,6800,214006,40,98,13,9,25,2,0,0,Bath,1,0,1,0,0,0
121000,0,3057200,9300,1729826,66,33,30,2,41,1,0,0,Bath,1,1,1,0,1,0
2000,1,4238700,7300,39995,4,40,2,1,3,1,0,0,Kitchen,1,0,0,0,0,0
2000,1,1080000,3500,11675,3,4,5,0,1,0,0,0,Bath,1,1,1,0,0,1
39000,1,1900100,7400,941734,22,112,7,9,11,2,0,0,Bath,1,1,0,0,1,1
3000,1,1298400,7800,245463,121,28,21,63,55,12,0,1,Bath,1,0,0,0,0,0
16000,1,3054600,8900,395580,62,136,32,3,44,4,0,0,Bath,1,1,0,1,1,1
73000,1,1578000,8900,1394197,69,118,22,5,37,0,0,0,Bath,1,1,1,1,1,1
24000,1,1717000,8400,212135,50,81,7,24,17,1,0,1,Bath,1,1,0,0,0,1
8000,1,2613200,8300,172979,95,94,20,61,58,31,0,1,Office,1,1,1,1,1,1
2000,1,1252200,6400,150368,29,5,0,17,8,0,0,0,Kitchen,1,0,0,0,0,0
3000,1,2215700,6200,407303,21,5,3,11,8,2,0,1,Bath,1,1,0,0,0,0
5000,1,887900,7100,136366,2,62,0,2,4,1,0,0,Bath,1,1,0,0,0,0
5000,1,1684000,5600,166518,4,64,1,2,2,0,0,1,Bath,1,0,0,0,0,0
2000,1,2175300,5900,283838,7,17,0,4,2,0,0,1,Kitchen,1,1,1,0,0,0
5000,0,4645600,5700,167598,4,78,1,0,2,0,0,0,Bath,1,1,0,1,0,0
27000,1,3054600,8300,488430,35,135,1,13,7,2,0,0,Bath,0,1,0,0,0,1
79000,1,2215700,7400,872255,73,92,33,22,37,2,0,1,Bath,1,1,1,1,1,0
2000,1,396300,4900,49935,11,21,5,5,1,0,0,0,Bath,1,1,1,1,0,0
2000,1,320800,7300,477063,23,55,5,8,14,4,0,0,Bath,1,1,0,0,0,0
24000,0,4575000,8900,105605,38,111,22,2,24,0,0,0,Bath,1,1,1,1,1,0
87000,1,3570700,8800,696622,313,74,26,273,288,265,0,1,Bath,1,0,0,0,0,0
2000,1,2301100,6100,9772,1,45,1,0,1,0,0,0,Office,1,0,0,0,0,0
2000,1,918600,5800,195081,27,30,6,9,10,0,0,0,Kitchen,0,0,0,0,0,0
3000,1,2454000,7100,37215,8,106,3,3,1,0,0,1,Bath,1,0,1,1,0,1
2000,1,2617100,6500,324749,21,4,4,13,6,0,0,0,Bath,1,1,1,0,0,0
10000,1,1950700,8200,447992,41,102,4,30,20,18,0,0,Bath,1,1,1,0,1,1
29000,1,1252200,8500,401293,48,154,9,13,19,0,0,0,Bath,1,1,1,0,1,1
32000,1,192800,8300,793103,35,106,8,17,23,11,0,1,Bath,1,1,0,0,1,0
8000,1,192800,8200,412632,6,50,1,0,7,0,0,1,Bath,1,1,0,0,0,0
2000,0,2835900,6300,39964,8,23,2,2,4,0,0,0,Kitchen,1,1,0,0,0,0
2000,1,2617100,4500,56051,19,43,6,12,1,2,0,0,Bath,1,1,1,1,0,1
10000,1,3311300,7600,824187,29,69,3,14,14,0,0,0,Toy,0,0,1,0,0,1
2000,0,4934700,4700,144409,0,10,0,0,0,0,0,1,Kitchen,1,1,0,0,1,0
8000,0,4480600,7000,93023,25,91,9,0,15,0,0,1,Kitchen,1,1,0,0,1,0
2000,0,4708900,3500,135717,7,3,2,0,2,0,0,0,Bath,1,1,0,0,0,0
5000,1,918600,6900,214006,11,67,4,1,12,3,0,0,Bath,1,0,1,0,0,0
11000,1,784400,7100,192962,41,48,17,6,25,0,0,1,Bath,1,0,0,0,1,0
2000,1,1263700,6300,62276,15,36,0,11,3,0,0,0,Bath,1,1,0,0,0,1
2000,1,1139100,7700,267629,8,42,1,2,6,0,0,0,Bath,1,0,0,0,0,1
2000,0,4575000,7400,9596,1,64,0,0,1,0,0,0,Bath,0,1,0,0,0,0
2000,1,3238500,3700,44363,1,2,0,0,1,0,0,0,Kitchen,1,1,0,0,0,1
3000,0,4398900,4900,23286,14,25,2,1,5,0,0,0,Bath,0,1,0,0,0,1
56000,1,1684000,8200,624769,60,105,28,2,37,0,0,1,Bath,1,1,1,1,0,1
10000,1,3000900,7300,922361,33,94,8,2,9,0,0,0,Bath,1,1,1,1,0,0
3000,1,1545800,5000,26436,1,33,0,4,1,0,0,1,Bath,1,1,1,0,0,1
2000,1,1842000,5900,317271,39,89,11,17,13,0,0,0,Bath,1,1,1,0,0,0
5000,1,1684000,5800,149470,53,77,23,4,39,2,0,0,Bath,1,0,1,1,1,1
3000,1,151300,4200,631652,25,19,2,9,4,0,0,0,Office,0,1,0,0,0,0
6000,1,784400,5500,564834,20,36,10,0,15,2,0,0,Bath,0,0,0,0,0,0
266000,1,1263700,9300,1808023,68,120,32,9,44,4,0,1,Bath,1,1,1,1,1,1
8000,1,2525600,7500,245463,14,46,0,11,1,1,0,1,Bath,1,1,0,0,0,1
2000,1,613700,3500,91161,1,8,0,0,1,0,0,0,Bath,1,1,1,0,0,0
15000,1,3792300,7500,1969756,80,65,8,42,24,4,0,0,Bath,1,1,0,0,1,0
2000,1,1263700,5500,153980,42,11,3,24,5,0,0,0,Kitchen,1,0,0,0,0,1
2000,1,890700,6200,164171,39,16,4,13,20,2,0,0,Bath,0,0,0,0,0,1
2000,0,4708900,8000,346384,14,32,1,2,11,0,0,0,Kitchen,1,0,0,0,0,0
2000,1,918600,6300,230598,11,22,7,2,7,0,0,1,Bath,1,0,0,0,0,0
3000,1,2492900,6000,23149,11,37,0,5,4,0,0,0,Kitchen,1,0,0,0,0,1
32000,1,1545800,6900,549715,50,96,12,17,10,2,0,1,Office,1,0,1,0,0,0
2000,1,31600,8000,691706,49,33,4,26,18,2,0,0,Bath,1,0,0,0,0,0
6000,0,2777700,7400,132449,33,80,17,4,19,2,0,1,Toy,1,1,1,1,1,0
73000,1,2344300,9200,752566,68,124,32,5,42,0,0,1,Bath,1,1,0,0,1,1
2000,1,922700,5500,51652,34,40,0,6,19,7,0,1,Toy,1,1,0,0,0,1
2000,1,1411600,3500,131448,2,2,0,2,2,0,0,0,Bath,1,1,1,0,0,0
3000,1,3518300,6800,194305,3,71,1,1,2,0,0,0,Bath,1,1,1,0,0,0
2000,1,2175300,5800,57822,48,69,27,2,41,4,0,1,Bath,1,1,1,0,0,0
5.00E+05,1,2301100,8600,4365238,155,107,57,31,68,1,1,1,Office,1,1,1,1,1,1
6000,1,1545800,5900,95291,42,59,0,42,5,3,0,0,Toy,1,0,0,0,0,1
2000,1,2671700,6500,2048,3,38,3,2,0,0,0,0,Bath,1,1,0,0,0,0
3000,1,2657500,4400,367328,12,51,0,6,1,2,0,0,Kitchen,1,0,0,0,0,0
13000,1,3518300,7700,90686,31,103,8,14,19,3,0,0,Bath,1,0,0,0,0,0
69000,1,2301100,8900,1529105,121,102,43,37,61,5,0,1,Bath,1,1,0,1,1,1
2000,1,1999100,6000,97941,16,19,5,7,11,1,0,0,Bath,1,0,0,0,0,1
48000,1,2088600,8400,359080,48,38,9,19,32,7,0,1,Bath,1,0,0,0,0,0
6000,0,2896100,7200,44828,19,76,10,3,15,1,0,1,Bath,1,1,1,0,1,0
5000,1,320800,7400,788296,13,40,7,3,6,0,0,1,Bath,1,0,0,0,0,0
127000,1,1864300,8800,483316,23,149,0,9,9,0,0,0,Kitchen,1,1,0,0,1,1
2000,1,3207100,6100,20071,5,92,3,0,3,0,0,0,Bath,1,1,1,1,0,0
3000,1,1098100,6000,193041,15,56,1,4,6,1,0,0,Bath,1,1,0,0,0,0
2000,1,1263700,4400,89480,8,11,4,0,6,0,0,1,Bath,0,1,0,0,0,0
8000,1,1504600,5400,43805,13,67,0,4,5,0,0,1,Kitchen,1,0,0,0,0,0
2000,1,1684000,5200,462746,49,45,3,23,6,2,0,0,Office,0,0,0,0,0,0
15000,1,3177200,8200,447992,58,112,12,34,9,2,0,0,Bath,1,1,1,0,1,1
6000,1,1999100,6600,245264,14,72,1,5,9,2,0,1,Bath,1,1,0,0,0,0
5000,1,1588000,6900,94125,2,91,0,0,2,1,0,0,Bath,1,1,0,0,0,0
34000,0,4480600,4900,382119,68,116,32,12,42,7,0,1,Bath,1,0,1,1,1,1
8000,1,981000,7500,557725,53,69,23,8,43,7,0,0,Bath,1,0,1,0,1,1
61000,1,396300,8000,1168518,131,87,63,24,68,0,0,0,Bath,1,1,1,1,1,1
94000,1,3570700,7900,457014,62,118,22,21,27,2,0,1,Kitchen,1,1,1,0,1,1
3000,0,4645600,7800,17777,10,73,1,0,8,0,0,0,Kitchen,1,1,0,0,0,0
11000,1,1684000,7200,664806,53,95,17,14,32,4,0,0,Bath,1,0,0,0,1,0
31000,1,1578000,8600,1348716,68,77,30,0,58,7,0,0,Bath,1,1,1,0,1,1
2000,1,805400,5500,2477,42,88,11,22,17,2,0,1,Bath,1,1,1,0,0,0
3000,1,194600,7500,23013,6,78,2,0,6,0,0,1,Bath,1,0,0,0,0,0
13000,1,922700,7600,101055,11,76,1,3,6,0,0,1,Kitchen,1,1,0,0,0,0
66000,1,2301100,8300,931417,107,111,20,48,41,9,1,1,Bath,1,0,0,0,1,0
8000,0,4708900,8000,621939,41,43,8,9,25,1,0,0,Kitchen,0,1,0,0,0,0
26000,1,1684000,7700,385016,48,88,5,30,12,2,0,0,Kitchen,1,0,0,0,0,1
3000,1,1588000,7400,49009,2,40,0,0,2,0,0,1,Bath,1,0,0,0,0,0
21000,1,2344300,7700,466603,23,104,17,1,17,1,0,1,Bath,1,0,1,1,0,1
74000,1,194600,9000,823479,80,133,32,13,42,0,0,1,Office,1,1,1,0,1,1
8000,1,525000,6600,670326,33,46,4,10,6,2,0,1,Bath,1,0,1,0,0,0
29000,1,163700,8500,467424,4,115,1,0,2,0,0,1,Bath,1,0,0,0,0,1
79000,1,994700,9500,1005204,124,149,43,37,57,1,0,0,Bath,1,1,1,1,1,1
6000,1,2215700,9100,518273,36,61,12,8,13,1,0,0,Kitchen,1,1,0,0,0,0
90000,1,3122700,8700,834327,80,151,30,17,47,5,0,1,Bath,1,1,1,1,1,1
2000,1,421100,5300,30366,1,28,1,0,2,1,0,1,Bath,1,0,1,0,0,0
6000,0,2835900,6000,15357,3,46,0,0,1,0,0,0,Bath,1,0,0,0,0,0
2000,1,1864300,6100,193707,9,56,2,0,4,0,0,0,Kitchen,0,0,0,0,0,1
2000,1,52200,7400,65599,9,91,2,0,2,2,0,0,Bath,1,1,0,0,0,0
3000,1,260800,7300,304225,22,33,7,1,17,0,0,1,Bath,1,0,0,0,0,0
2000,1,1648500,6800,9772,12,76,3,0,11,2,0,0,Bath,1,1,1,0,0,0
2000,0,2835900,7600,9596,1,63,0,0,1,0,0,0,Bath,0,1,0,0,0,0
34000,1,3382800,7000,316575,30,120,12,9,15,0,0,1,Kitchen,1,1,1,1,0,1
11000,1,1467500,6500,109982,6,13,1,4,6,2,0,0,Bath,1,1,0,0,0,1
27000,0,2936200,8100,671633,50,69,36,4,30,0,0,1,Office,1,1,1,1,1,0
2000,1,1804500,4200,128209,3,6,1,0,2,1,0,0,Bath,1,1,1,0,0,1
13000,1,2539500,9300,439801,19,80,11,4,6,1,0,0,Bath,1,1,1,1,0,1
2000,0,2777700,5400,489,7,25,3,1,5,1,0,0,Bath,1,0,1,1,1,0
3000,1,538300,5700,176114,21,36,10,1,15,0,0,0,Bath,0,0,1,0,0,0
10000,1,3311300,6200,303842,4,99,2,3,1,1,0,0,Bath,1,1,1,1,0,0
2000,1,922700,5600,384334,13,21,2,0,2,2,0,0,Bath,0,0,0,0,0,0
27000,1,52200,8100,1003761,50,145,13,13,24,0,0,1,Kitchen,1,1,1,0,1,1
2000,0,4645600,8400,5293,1,77,1,0,1,0,0,1,Kitchen,1,0,1,0,0,0
6000,1,281900,8500,2006285,69,39,30,10,45,3,0,1,Bath,1,1,1,0,1,1
5000,0,4480600,8300,3247,28,107,6,4,12,1,0,0,Bath,0,1,0,0,0,1
3000,0,4934700,8800,284933,12,60,4,2,10,1,0,0,Kitchen,0,0,0,0,1,0
19000,1,2175300,7900,669770,31,91,23,8,21,1,0,1,Kitchen,1,1,1,0,1,0
2000,1,2215700,5900,1361,20,66,2,9,2,0,0,1,Kitchen,1,0,0,0,0,0
3000,1,2215700,7400,428610,7,39,0,1,4,0,0,0,Bath,1,0,0,0,0,0
24000,1,1842000,7600,478691,55,119,23,2,42,5,0,1,Bath,1,1,1,0,1,1
18000,1,1717000,8100,438753,42,59,26,14,23,0,0,1,Kitchen,1,0,0,1,1,0
2000,1,3570700,5300,72774,2,5,1,0,2,0,0,0,Bath,1,0,0,0,0,0
56000,1,3792300,8200,5417231,134,79,11,79,28,4,0,0,Kitchen,1,1,0,0,0,0
24000,1,2657500,8100,380699,66,135,24,3,41,0,0,1,Bath,1,1,1,1,0,0
3000,1,2617100,8000,30069,6,70,2,0,2,0,0,1,Bath,0,1,1,0,0,1
2000,1,31600,6300,1007988,29,37,11,6,7,0,0,1,Bath,1,0,0,0,0,0
6000,1,1804500,8500,503093,36,77,5,26,7,0,0,1,Bath,1,1,0,0,0,1
227000,1,1999100,8500,2408730,134,125,50,29,72,5,0,1,Toy,1,1,1,1,1,1
8000,1,981000,6700,335300,49,67,20,11,34,3,0,1,Bath,1,0,0,0,1,0
6000,1,1139100,8500,643979,49,88,27,1,37,2,0,1,Bath,1,0,0,0,0,0
3000,1,192800,6500,16442,11,51,1,6,11,5,0,0,Bath,0,1,1,0,0,0
77000,0,4934700,8300,987149,41,80,15,4,24,1,0,1,Toy,1,1,1,1,1,0
2000,1,918600,6400,204611,6,35,2,0,3,1,0,0,Bath,1,0,0,1,0,0
13000,0,4934700,7700,467004,13,53,6,1,9,0,1,0,Bath,0,1,0,0,1,0
15000,1,396300,7200,924460,23,35,4,7,6,0,0,1,Bath,1,1,1,0,0,0
5000,1,322700,5100,25777,33,50,8,14,7,1,0,1,Bath,1,1,1,0,0,0
129000,0,4934700,8000,985658,63,86,30,8,45,4,1,1,Bath,1,1,1,0,1,0
8000,1,1210500,7000,70234,2,67,4,0,6,1,0,1,Bath,1,0,0,0,0,0
18000,1,1588000,8000,682260,39,74,10,12,21,1,0,0,Bath,1,1,0,0,0,1
74000,0,4708900,8900,357567,51,51,21,12,31,2,1,1,Bath,1,0,0,0,0,0
2000,1,3570700,4700,98168,0,11,0,0,0,0,0,0,Bath,1,1,0,0,0,1
